# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
1.286e+07,5.232e-11
1.307e+07,5.297e-11
1.328e+07,5.365e-11
1.349e+07,5.433e-11
1.371e+07,5.504e-11
1.394e+07,5.576e-11
1.416e+07,5.650e-11
1.439e+07,5.725e-11
1.463e+07,5.803e-11
1.487e+07,5.883e-11
1.511e+07,5.964e-11
1.535e+07,6.048e-11
1.560e+07,6.134e-11
1.586e+07,6.222e-11
1.611e+07,6.312e-11
1.638e+07,6.405e-11
1.664e+07,6.500e-11
1.691e+07,6.597e-11
1.719e+07,6.697e-11
1.747e+07,6.800e-11
1.775e+07,6.905e-11
1.804e+07,7.013e-11
1.833e+07,7.123e-11
1.863e+07,7.237e-11
1.894e+07,7.353e-11
1.924e+07,7.472e-11
1.956e+07,7.595e-11
1.987e+07,7.720e-11
2.020e+07,7.848e-11
2.053e+07,7.980e-11
2.086e+07,8.115e-11
2.120e+07,8.253e-11
2.154e+07,8.394e-11
2.189e+07,8.539e-11
2.225e+07,8.687e-11
2.261e+07,8.839e-11
2.298e+07,8.995e-11
2.335e+07,9.154e-11
2.373e+07,9.316e-11
2.412e+07,9.483e-11
2.451e+07,9.653e-11
2.491e+07,9.827e-11
2.532e+07,1.001e-10
2.573e+07,1.019e-10
2.615e+07,1.037e-10
2.657e+07,1.056e-10
2.700e+07,1.076e-10
2.744e+07,1.096e-10
2.789e+07,1.116e-10
2.834e+07,1.137e-10
2.880e+07,1.158e-10
2.927e+07,1.179e-10
2.975e+07,1.202e-10
3.023e+07,1.224e-10
3.072e+07,1.247e-10
3.122e+07,1.271e-10
3.173e+07,1.295e-10
3.225e+07,1.319e-10
3.277e+07,1.344e-10
3.331e+07,1.370e-10
3.385e+07,1.396e-10
3.440e+07,1.423e-10
3.496e+07,1.450e-10
3.553e+07,1.478e-10
3.610e+07,1.506e-10
3.669e+07,1.535e-10
3.729e+07,1.565e-10
3.789e+07,1.595e-10
3.851e+07,1.626e-10
3.914e+07,1.658e-10
3.977e+07,1.690e-10
4.042e+07,1.723e-10
4.108e+07,1.756e-10
4.175e+07,1.791e-10
4.243e+07,1.826e-10
4.312e+07,1.862e-10
4.382e+07,1.899e-10
4.453e+07,1.937e-10
4.525e+07,1.976e-10
4.599e+07,2.015e-10
4.674e+07,2.056e-10
4.750e+07,2.098e-10
4.827e+07,2.140e-10
4.906e+07,2.184e-10
4.985e+07,2.229e-10
5.066e+07,2.275e-10
5.149e+07,2.322e-10
5.233e+07,2.371e-10
5.318e+07,2.420e-10
5.404e+07,2.471e-10
5.492e+07,2.523e-10
5.581e+07,2.577e-10
5.672e+07,2.632e-10
5.764e+07,2.688e-10
5.858e+07,2.745e-10
5.954e+07,2.804e-10
6.050e+07,2.865e-10
6.149e+07,2.927e-10
6.249e+07,2.990e-10
6.350e+07,3.055e-10
6.454e+07,3.121e-10
6.559e+07,3.189e-10
6.665e+07,3.258e-10
6.774e+07,3.329e-10
6.884e+07,3.402e-10
6.996e+07,3.476e-10
7.110e+07,3.552e-10
7.225e+07,3.630e-10
7.343e+07,3.710e-10
7.462e+07,3.791e-10
7.584e+07,3.874e-10
7.707e+07,3.958e-10
7.832e+07,4.045e-10
7.960e+07,4.133e-10
8.089e+07,4.224e-10
8.221e+07,4.316e-10
8.355e+07,4.410e-10
8.490e+07,4.506e-10
8.629e+07,4.604e-10
8.769e+07,4.704e-10
8.911e+07,4.806e-10
9.056e+07,4.909e-10
9.204e+07,5.015e-10
9.353e+07,5.123e-10
9.506e+07,5.233e-10
9.660e+07,5.346e-10
9.817e+07,5.460e-10
