# Model: Best-fit
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
5.659e+10,1.001e-11
5.751e+10,9.570e-12
5.845e+10,9.144e-12
5.940e+10,8.734e-12
6.036e+10,8.336e-12
6.135e+10,7.949e-12
6.234e+10,7.571e-12
6.336e+10,7.202e-12
6.439e+10,6.842e-12
6.544e+10,6.492e-12
6.650e+10,6.152e-12
6.758e+10,5.821e-12
6.868e+10,5.500e-12
6.980e+10,5.190e-12
7.093e+10,4.889e-12
7.209e+10,4.598e-12
7.326e+10,4.318e-12
7.445e+10,4.048e-12
7.566e+10,3.788e-12
7.689e+10,3.539e-12
7.814e+10,3.301e-12
7.941e+10,3.074e-12
8.071e+10,2.857e-12
8.202e+10,2.652e-12
8.335e+10,2.458e-12
8.471e+10,2.275e-12
8.609e+10,2.103e-12
8.749e+10,1.942e-12
8.891e+10,1.791e-12
9.036e+10,1.650e-12
9.183e+10,1.518e-12
9.332e+10,1.395e-12
9.484e+10,1.282e-12
9.638e+10,1.176e-12
9.795e+10,1.078e-12
9.954e+10,9.884e-13
1.012e+11,9.055e-13
1.028e+11,8.294e-13
1.045e+11,7.597e-13
1.062e+11,6.960e-13
1.079e+11,6.380e-13
1.097e+11,5.851e-13
1.114e+11,5.371e-13
1.133e+11,4.935e-13
1.151e+11,4.540e-13
1.170e+11,4.183e-13
1.189e+11,3.859e-13
1.208e+11,3.568e-13
1.228e+11,3.307e-13
1.248e+11,3.075e-13
1.268e+11,2.869e-13
1.289e+11,2.688e-13
1.310e+11,2.528e-13
1.331e+11,2.389e-13
1.352e+11,2.268e-13
1.374e+11,2.163e-13
1.397e+11,2.073e-13
1.420e+11,1.994e-13
1.443e+11,1.925e-13
1.466e+11,1.865e-13
1.490e+11,1.810e-13
1.514e+11,1.760e-13
1.539e+11,1.711e-13
1.564e+11,1.662e-13
1.589e+11,1.611e-13
1.615e+11,1.556e-13
1.641e+11,1.497e-13
1.668e+11,1.435e-13
1.695e+11,1.370e-13
1.723e+11,1.302e-13
1.751e+11,1.233e-13
1.779e+11,1.162e-13
1.808e+11,1.090e-13
1.838e+11,1.017e-13
1.868e+11,9.438e-14
1.898e+11,8.711e-14
1.929e+11,7.992e-14
1.960e+11,7.284e-14
1.992e+11,6.593e-14
2.024e+11,5.922e-14
2.057e+11,5.277e-14
2.091e+11,4.662e-14
2.125e+11,4.082e-14
2.159e+11,3.541e-14
2.195e+11,3.044e-14
2.230e+11,2.593e-14
2.266e+11,2.187e-14
2.303e+11,1.824e-14
2.341e+11,1.501e-14
2.379e+11,1.216e-14
2.418e+11,9.670e-15
2.457e+11,7.510e-15
2.497e+11,5.659e-15
2.537e+11,4.092e-15
2.579e+11,2.787e-15
2.621e+11,1.720e-15
2.663e+11,8.672e-16
2.707e+11,2.052e-16
2.751e+11,-2.897e-16
2.795e+11,-6.411e-16
2.841e+11,-8.725e-16
2.887e+11,-1.008e-15
2.934e+11,-1.070e-15
2.982e+11,-1.083e-15
3.030e+11,-1.071e-15
3.080e+11,-1.048e-15
3.130e+11,-1.019e-15
3.181e+11,-9.825e-16
3.232e+11,-9.402e-16
3.285e+11,-8.925e-16
3.338e+11,-8.403e-16
3.393e+11,-7.842e-16
3.448e+11,-7.250e-16
3.504e+11,-6.634e-16
3.561e+11,-6.002e-16
3.619e+11,-5.360e-16
3.678e+11,-4.716e-16
3.737e+11,-4.077e-16
3.798e+11,-3.451e-16
3.860e+11,-2.844e-16
3.923e+11,-2.264e-16
3.987e+11,-1.718e-16
4.051e+11,-1.213e-16
4.117e+11,-7.568e-17
4.184e+11,-3.565e-17
4.252e+11,-1.457e-18
4.322e+11,2.723e-17
4.392e+11,5.078e-17
4.463e+11,6.955e-17
4.536e+11,8.389e-17
4.610e+11,9.419e-17
4.685e+11,1.008e-16
4.761e+11,1.041e-16
4.838e+11,1.044e-16
4.917e+11,1.021e-16
4.997e+11,9.753e-17
5.078e+11,9.112e-17
5.161e+11,8.319e-17
5.245e+11,7.412e-17
5.330e+11,6.425e-17
5.417e+11,5.397e-17
5.505e+11,4.362e-17
5.594e+11,3.357e-17
5.685e+11,2.419e-17
5.778e+11,1.582e-17
5.872e+11,8.603e-18
5.967e+11,2.461e-18
6.064e+11,-2.670e-18
6.163e+11,-6.861e-18
6.263e+11,-1.018e-17
6.365e+11,-1.270e-17
6.469e+11,-1.449e-17
6.574e+11,-1.561e-17
6.681e+11,-1.614e-17
6.789e+11,-1.616e-17
6.900e+11,-1.571e-17
